date_of_contract,municipality_name,zone_name,real_estate_type,area_in_square_meters,price_per_square_foot
2025-01-14,Doha,The Pearl Island,Residential Unit,124,1352.41
2025-01-14,Doha,The Pearl Island,Residential Unit,172,1333.92
2025-01-14,Doha,The Pearl Island,Residential Unit,59,1485.57
2025-01-14,Doha,The Pearl Island,Residential Unit,59,1556.16
2025-01-14,Doha,The Pearl Island,Residential Unit,86,1420.41
2025-01-14,Doha,The Pearl Island,Residential Unit,74,1690.51
2025-01-14,Doha,The Pearl Island,Residential Unit,129,1048.09
2025-01-14,Doha,The Pearl Island,Residential Unit,112,1276.71
2025-01-14,Doha,Madinat Khalifa South,Residence,592,438.0
2025-01-14,Doha,Old Airport,Residence,180,439.0
2025-01-14,Doha,The Pearl Island,Residential Unit,59,1522.62
2025-01-14,Doha,The Pearl Island,Residential Unit,157,1472.51
2025-01-13,Doha,Najma,Residence,137,997.0
2025-01-13,Doha,New Slata,Residence,462,450.0
2025-01-13,Doha,Al Thumama 47,Vacant Land,644,368.0
2025-01-13,Doha,Rawdat Al Khail,Residence,319,764.0
2025-01-13,Doha,Al Thumama 46,Residence,450,751.0
2025-01-13,Doha,Old Al Ghanim 16,Residential Building,933,1047.0
2025-01-13,Doha,Legtaifiya,Vacant Land,3201,586.0
2025-01-13,Doha,The Pearl Island,Residential Unit,79,1328.27
2025-01-13,Doha,New Slata,Residence,444,617.0
2025-01-13,Doha,Old Al Ghanim 16,Shops,536,1927.0
2025-01-13,Doha,Fereej Al Asmakh,Shops,531,2516.0
2025-01-12,Doha,Nuaija 44,Residence,525,557.0
2025-01-12,Doha,Fereej Bin Omran,Residence,178,705.0
2025-01-12,Doha,New Al Hitmi,Vacant Land,464,400.0
2025-01-12,Doha,Onaiza 65,Residence,1225,356.0
2025-01-12,Doha,Duhail,Residence,1225,455.0
2025-01-09,Doha,Ghar Thaileb,Residential Unit,130,1107.59
2025-01-09,Doha,The Pearl Island,Residential Unit,138,1270.99
2025-01-09,Doha,Old Airport,Vacant Land,608,382.0
2025-01-09,Doha,Nuaija 44,Vacant Land,540,440.0
2025-01-09,Doha,The Pearl Island,Residential Unit,424,1621.27
2025-01-09,Doha,Ghar Thaileb,Residential Unit,95,1132.59
2025-01-09,Doha,Ghar Thaileb,Residential Unit,101,1158.78
2025-01-09,Doha,Ghar Thaileb,Residential Unit,158,998.96
2025-01-09,Doha,Ghar Thaileb,Residential Unit,158,1013.65
2025-01-09,Doha,Fereej Bin Omran,Residence,207,359.0
2025-01-09,Doha,Ghar Thaileb,Residential Unit,95,1219.66
2025-01-09,Doha,Al Thumama 47,Residence,633,484.0
2025-01-09,Doha,Rawdat Al Khail,Residence,614,847.0
2025-01-09,Doha,Rawdat Al Khail,Residential Building,629,1241.0
2025-01-09,Doha,Al Sadd 38,Residential Building,1009,1215.0
